,RBAR,SITES
FSU-HYCOM,0.7545414252934786,3.5183201272022093
MIROC-COCO4.9,0.7814292958662972,2.45173235855278
CAS-LICOM3,0.7609835702031545,2.3692044431876407
AWI-FESOM,0.7497901948200648,2.8884359368260077
CESM-POP,0.7908750908015763,2.493241523410858
NorESM-BLOM,0.7809070035851238,2.3432145874505883
MRI.COM,0.7971042712413804,2.474579470277862
EC-Earth3-NEMO,0.7706574454738274,2.4572110694128115
Kiel-NEMO,0.7828078081316583,5.858855581021326
GFDL-MOM,0.7616120148036878,1.6528895408332682
CMCC-NEMO,0.7858007403881546,2.281312209954527
