,RBAR,SITES
FSU-HYCOM,0.9296201064822044,0.14732835709718634
MIROC-COCO4.9,0.9322163575481589,0.10745916409402542
CAS-LICOM3,0.920449615977289,0.09695254513282121
AWI-FESOM,0.9286262931120829,0.12776218074643836
CESM-POP,0.9372258447003495,0.10569435482613812
NorESM-BLOM,0.9345874489313515,0.10601437233282002
MRI.COM,0.9431993151065627,0.10014056606959376
EC-Earth3-NEMO,0.9377847174664834,0.10284037790919694
Kiel-NEMO,0.927800530449419,0.27384911178374155
GFDL-MOM,0.9325525943093493,0.07230012878615266
CMCC-NEMO,0.9396663360261632,0.10154561203825659
