,Correlation,Standard deviation
FSU-HYCOM,0.9806604579531342,1.7306704017451657
MIROC-COCO4.9,0.9821123835457511,1.6763487558146561
CAS-LICOM3,0.972268971153826,1.900966132088115
AWI-FESOM,0.9837066701512068,1.7841773935475196
CESM-POP,0.9849316245979053,1.6146721453859492
NorESM-BLOM,0.9827256950824661,1.564012780539861
MRI.COM,0.984271135889417,1.7595764254351658
EC-Earth3-NEMO,0.9863184738673009,1.8657010540972268
Kiel-NEMO,0.9813370860547659,1.6050136612782004
GFDL-MOM,0.9870633500894972,1.711489675246482
CMCC-NEMO,0.9882056377123168,1.657829316664987
Reference,1.0,1.7371574272327899
