,Correlation,Standard deviation
FSU-HYCOM,0.73837728635563,0.5526566724198789
MIROC-COCO4.9,0.7810851570473334,0.5094115771247023
CAS-LICOM3,0.7654980573002569,0.5449197992109361
AWI-FESOM,0.7520496674604975,0.5796037082193036
CESM-POP,0.8031130567252467,0.4630265498338629
NorESM-BLOM,0.7719246428001845,0.4959710464026228
MRI.COM,0.8051621707960234,0.4959373720775661
EC-Earth3-NEMO,0.7834261911368292,0.5635056379076117
Kiel-NEMO,0.7784184300533545,0.52721487008051
GFDL-MOM,0.7450931432675806,0.5522533608763387
CMCC-NEMO,0.783266432605344,0.5252856224575415
Reference,1.0,0.5760202113810301
