,OMIP2_rmse,OMIP2_mean
MMM,0.31444423491238727,0.11899692396293313
FSU-HYCOM,0.6019399025746761,0.30643114366501106
MIROC-COCO4.9,0.5162617195078878,0.1272594701471196
CAS-LICOM3,0.4707298253710917,0.08287619818958483
AWI-FESOM,0.3139225324018704,-0.0986912065254956
CESM-POP,0.3855009982266024,0.2210533594410735
NorESM-BLOM,0.5684179836719297,0.18776017944730625
MRI.COM,0.4279133148335407,0.275549059796768
EC-Earth3-NEMO,0.5637894112666045,-0.03477322118497497
Kiel-NEMO,1.116714103577149,-0.007878626227645178
GFDL-MOM,0.4079045519147764,0.20461707347220856
CMCC-NEMO,0.5930481698247626,0.08051939359797652
