,OMIP2_rmse,OMIP2_mean
MMM,8.666393772693556,0.10324961444305059
FSU-HYCOM,12.740864685849301,0.2286212621308553
MIROC-COCO4.9,18.479124156052794,0.22227827181611412
CAS-LICOM3,12.034628786498851,-0.04605428704060676
AWI-FESOM,10.751926898024923,0.3178879975001899
CESM-POP,11.530360123351679,0.06964077328700566
NorESM-BLOM,11.38202998213245,0.37112020662908507
MRI.COM,11.824329477838189,0.03930904715440254
EC-Earth3-NEMO,8.743455888522844,0.37107830247160944
Kiel-NEMO,9.832609915472137,-0.015006359870255458
GFDL-MOM,8.423651491746718,0.0005410150442872638
CMCC-NEMO,10.023574095173098,0.3710783863916924
