,OMIP1_rmse_Southern,OMIP1_rmse_Atlantic,OMIP1_rmse_Indian,OMIP1_rmse_Pacific
MMM,0.16791385180941976,0.5181894768427711,0.6915471427661243,0.35555117377245676
FSU-HYCOM,0.4001988266373416,0.8550955850780853,1.3089464474875359,0.5392858254579969
MIROC-COCO4.9,0.2944908611781158,0.7233377824747627,0.9971493484804732,0.4693885222603675
CAS-LICOM3,0.7312454823987412,1.5057260930434326,0.7052324562865917,0.5458965584360065
AWI-FESOM,0.42895045618119293,0.688330983121161,0.4567486369212592,0.46119291606400525
CESM-POP,0.311982448929146,0.8584546491403403,0.9129425924797687,0.486336976863498
NorESM-BLOM,1.0665492633098645,0.780270509740586,0.792851306884996,1.036674952212298
MRI.COM,0.3671375257692246,0.846318246685409,0.9145212199251023,0.45874573425932896
EC-Earth3-NEMO,0.6301510154528241,1.0040437724867626,1.0187429844349825,0.7502476167091291
Kiel-NEMO,0.529421648238491,0.525722587636495,0.9333053782249353,0.5032700202844578
GFDL-MOM,0.22449269059363616,0.6470507993679169,0.4388686258936658,0.27585386302313647
CMCC-NEMO,0.22713693633950863,0.6750713847746783,0.7996791936106306,0.4139872848395941
