,OMIP2_rmse,OMIP2_mean
MMM,30.929987137200634,6.7441484076278
FSU-HYCOM,80.24546862611507,34.952086735947134
MIROC-COCO4.9,38.589819652993945,6.512736941046302
CAS-LICOM3,55.15768401793545,-15.168411832269324
AWI-FESOM,45.55492912227995,10.219354719009152
CESM-POP,31.561137722367977,10.59169467359324
NorESM-BLOM,46.85981844921692,20.955852966060014
MRI.COM,48.34576799987697,15.692712207000802
EC-Earth3-NEMO,32.88177264951059,3.801518949767372
Kiel-NEMO,35.78402550278179,-0.7278144174508536
GFDL-MOM,32.58958647810249,-9.465980379720971
CMCC-NEMO,30.897960439419936,1.6873026241003621
