,SH-MLD-OMIP2,NH-MLD-OMIP2
FSU-HYCOM,3368.3750027126734,2575.576014539931
MIROC-COCO4.9,876.899383884006,1509.055930582682
CAS-LICOM3,392.39592236627203,1674.761271955869
AWI-FESOM,994.3758880615234,2088.978212483724
CESM-POP,1200.5498580932617,1527.531879679362
NorESM-BLOM,1459.805548624774,2141.7724303503387
MRI.COM,4846.091677517361,1414.8222886827255
EC-Earth3-NEMO,1465.87524210612,1304.9781261020237
Kiel-NEMO,524.505323961046,1655.9815181308322
GFDL-MOM,2094.785974968804,2501.344258965386
CMCC-NEMO,1209.1631235758464,1713.5674543592665
