,RBAR,SITES
FSU-HYCOM,0.5474089942460374,16.754155872644798
MIROC-COCO4.9,0.6813171204735524,43.54924553873482
CAS-LICOM3,0.6984404027016473,18.315646157118927
AWI-FESOM,0.6764439788570291,13.310513523602975
CESM-POP,0.7668841478063413,18.533390964911774
NorESM-BLOM,0.7524273544352562,15.743286707833894
MRI.COM,0.7628103510976619,19.150213419424734
EC-Earth3-NEMO,0.7813144228007924,8.339716239067501
Kiel-NEMO,0.7704727209393785,11.026095723771284
GFDL-MOM,0.5737963946196531,7.2557441393749365
CMCC-NEMO,0.7780125379595957,11.998918646358739
