,Correlation,Standard deviation
FSU-HYCOM,0.5730176678218241,0.042146743827129234
MIROC-COCO4.9,0.5427495094994511,0.03899355455101656
CAS-LICOM3,0.6980871196610526,0.03063877219697626
AWI-FESOM,0.6531052625665186,0.03644771032906603
CESM-POP,0.7381417819698445,0.030281471912178518
NorESM-BLOM,0.7337151195186925,0.03273504420956954
MRI.COM,0.7487362624282016,0.029296515698201357
EC-Earth3-NEMO,0.7586953456656026,0.034070878288852455
Kiel-NEMO,0.7408578433662519,0.03299942722696922
GFDL-MOM,0.5128164990149657,0.045626822456281614
CMCC-NEMO,0.7498421462744667,0.03168590337695801
Reference,1.0,0.03916277253486643
