,RBAR,SITES
FSU-HYCOM,0.6715702279882865,5.80404837894327
MIROC-COCO4.9,0.6066356963618712,11.525492501335314
CAS-LICOM3,0.7705459389996719,5.738354932326215
AWI-FESOM,0.7157342433518947,4.233750499437821
CESM-POP,0.7960553723407312,5.2894543549668205
NorESM-BLOM,0.7967094085850442,4.829614588747412
MRI.COM,0.8094874873642595,5.757608973193486
EC-Earth3-NEMO,0.8111260884008733,2.587278500187627
Kiel-NEMO,0.8009873577997743,3.273635560959552
GFDL-MOM,0.6336232638638817,2.243011924152886
CMCC-NEMO,0.8095285821283252,3.715320240641827
