,RBAR,SITES
FSU-HYCOM,0.6034499220282935,14.19646492740513
MIROC-COCO4.9,0.6493865457206608,26.013389073456317
CAS-LICOM3,0.6390283460978596,17.12746241309377
AWI-FESOM,0.6137143320706965,11.32056899642428
CESM-POP,0.6777963043511686,15.667342176569942
NorESM-BLOM,0.6916851453374556,12.323240896283016
MRI.COM,0.6804161504320099,13.931519439579905
EC-Earth3-NEMO,0.6895660735992926,7.654598852863434
Kiel-NEMO,0.6920238097466392,9.688502489624028
GFDL-MOM,0.5598328937166089,5.908351433362284
CMCC-NEMO,0.6849444848351496,7.992564881212507
