,Correlation,Standard deviation
FSU-HYCOM,0.5444413808133234,0.21984597177237422
MIROC-COCO4.9,0.46072185773146196,0.26331301534309365
CAS-LICOM3,0.6909252276094637,0.4948069948197977
AWI-FESOM,0.46723156522854487,0.5703065738109654
CESM-POP,0.6611007824173568,0.29934565124853085
NorESM-BLOM,0.7117488772377432,0.2690930328589946
MRI.COM,0.40049874482205383,0.3355250228972404
EC-Earth3-NEMO,0.5698032397319683,0.7510474625856312
Kiel-NEMO,0.4891437128837317,0.5797962672765767
GFDL-MOM,0.24184165709180128,0.5402751459462389
CMCC-NEMO,0.4333872766161877,0.47456092953515244
Reference,1.0,0.4557538321896544
