,Correlation,Standard deviation
FSU-HYCOM,0.8573270806360134,1.216904817818057
MIROC-COCO4.9,0.9449979362909512,0.8704100339011984
CAS-LICOM3,0.8245275805657104,1.4944996334759122
AWI-FESOM,0.8701851347291097,0.8111596067936466
CESM-POP,0.8136915863865444,1.4159656959588256
NorESM-BLOM,0.8711368954168044,1.434076894063194
MRI.COM,0.890372046633348,0.9113052559326978
EC-Earth3-NEMO,0.9186647427150217,0.9495996869899509
Kiel-NEMO,0.8038676934328768,0.4242710594116078
GFDL-MOM,0.8780962610536703,0.7014596842507418
CMCC-NEMO,0.81032941810391,1.5728060988749386
Reference,1.0,0.8364621263923961
