,Correlation,Standard deviation
FSU-HYCOM,0.6276290714891163,0.25255504323042843
MIROC-COCO4.9,0.9251560154459398,0.36382405736483014
CAS-LICOM3,0.8337591735945885,0.3889742954263706
AWI-FESOM,0.8288684415161248,0.38994736105446975
CESM-POP,0.8620214643878542,0.3490934119998788
NorESM-BLOM,0.9322920383317627,0.308825609367554
MRI.COM,0.7985676570221839,0.34033194951950835
EC-Earth3-NEMO,0.8458291253850914,0.400465547328312
Kiel-NEMO,0.8760503855647107,0.3613230332024399
GFDL-MOM,0.9189591688409672,0.3059598911028766
CMCC-NEMO,0.9095094910564738,0.3674792057650588
Reference,1.0,0.42760326887847294
