,Correlation,Standard deviation
FSU-HYCOM,-0.09737517240621917,0.41970969976297473
MIROC-COCO4.9,0.8380652235922872,0.321037377871995
CAS-LICOM3,0.240491590958483,0.46091958566110447
AWI-FESOM,0.7934425824826563,0.3090248415013585
CESM-POP,0.6618696875216755,0.22086452107955698
NorESM-BLOM,0.37578257997432546,0.2360693741978261
MRI.COM,0.8168169963440551,0.2198181413612278
EC-Earth3-NEMO,0.7068622792902576,0.3342544266971832
Kiel-NEMO,0.6205921159297585,0.31597798566953217
GFDL-MOM,0.8237894355664831,0.26389536487150983
CMCC-NEMO,0.7028621546014832,0.3100083005470677
Reference,1.0,0.3399012928614554
